polymer_name,monomer_name,smiles_monomer,distribution,property,value,pm,units,ref,link/doi,comment,note,mechanism
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,150,0.12,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #6",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,36100,0.13,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #7",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,38988,0.13,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #7",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.08,0.13,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #7",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,150,0.13,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #7",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,183,0.06,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #8",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,33000,0.36,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #9",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,41910,0.36,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #9",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.27,0.36,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #9",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,51,0.36,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #9",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,61200,0.18,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tg,-3,0.18,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,126,0.18,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,64300,0.12,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tg,4,0.12,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,150,0.12,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tg,11.2,0.06,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #3",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,183,0.06,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 3, #3",,ester_stereo
Polypropylene,Propylene,C=CC,,Mn,36507.9661,0.96299629,g/mol,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P14",,vinyl_stereo
Polypropylene,Propylene,C=CC,,Mw,215397,0.96299629,g/mol,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P14",,vinyl_stereo
Polypropylene,Propylene,C=CC,,PDI,5.9,0.96299629,,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P14",,vinyl_stereo
Polypropylene,Propylene,C=CC,,Tc,119.8,0.96299629,C,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P14",,vinyl_stereo
Polypropylene,Propylene,C=CC,,Tm,157.5,0.96299629,C,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P14",,vinyl_stereo
Polypropylene,Propylene,C=CC,,Mn,7987.56098,0.98202091,g/mol,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P17",,vinyl_stereo
Polypropylene,Propylene,C=CC,,Mw,65498,0.98202091,g/mol,"Amer, I., Van Reenen, A., & Mokrani, T. (2016). The influence of molecular weight and tacticity on thermal, morphological and mechanical properties of Ziegler - Natta catalyzed isotactic and syndiotactic polypropylene blends. Medziagotyra, 22(3), 381‚Äö√Ñ√¨389. https://doi.org/10.5755/j01.ms.22.3.9056",10.5755/j01.ms.22.3.9056,"Table 1, P17",,vinyl_stereo
