smiles_monomer,pm,distribution,ref,comment,mechanism,Mn,Mv,Mw,PDI,Tc,Td,Tg,Tm,density,elongation to break,elongation_at_break,flexural_strength,modulus,modulus_of_elasticity,notched_strength,set,tensile modulus,tensile strength,tensile stress relaxation,tensile_strength,unnotched_strength,yield_elongation,yield_strength,monomers,data_id
C=C(C)C(=O)OC,0.12,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.1,vinyl_stereo,2500000,,,,,,103,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",10
C=C(C)C(=O)OC,0.18,[],"Doulut, S., Demont, P., & Lacabanne, C. (2000). Influence of tacticity on the Œ± retardation mode in amorphous poly(methyl methacrylate). Macromolecules, 33(9), 3425‚Äì3430. https://doi.org/10.1021/ma990247k",Table 1.S66,vinyl_stereo,11600,,14800,1.088,,,123,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",11
C=C(C)C(=O)OC,0.24,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.6,vinyl_stereo,2500000,,,,,,101,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",12
C=C(C)C(=O)OC,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.48,vinyl_stereo,,,,,,,104.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",13
C=C(C)C(=O)OC,0.54,[],"Doulut, S., Demont, P., & Lacabanne, C. (2000). Influence of tacticity on the Œ± retardation mode in amorphous poly(methyl methacrylate). Macromolecules, 33(9), 3425‚Äì3430. https://doi.org/10.1021/ma990247k",Table 1.S36,vinyl_stereo,10000,,10000,1.27586207,,,99,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",14
C=C(C)C(=O)OC,0.6,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.5,vinyl_stereo,2500000,,,,,,58,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",15
C=C(C)C(=O)OC,0.86,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.4,vinyl_stereo,2500000,,,,,,44,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",16
C=C(C)C(=O)OC,0.94,[],"Doulut, S., Demont, P., & Lacabanne, C. (2000). Influence of tacticity on the Œ± retardation mode in amorphous poly(methyl methacrylate). Macromolecules, 33(9), 3425‚Äì3430. https://doi.org/10.1021/ma990247k",Table 1.I93,vinyl_stereo,8300,,10000,1,,,59,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",17
C=C(C)C(=O)OC,0.98,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.3,vinyl_stereo,2500000,,,,,,38,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",18
C=C(C)C(=O)OC,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.49,vinyl_stereo,,,,,,,42.84,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",19
C=C(C)C(=O)OC,1,[],"Ute, K., Miyatake, N., & Hatada, K. (1995). Glass transition temperature and melting temperature of uniform isotactic and syndiotactic poly(methyl methacrylate)s from 13mer to 50mer. Polymer, 36(7), 1415‚Äì1419. https://doi.org/10.1016/0032-3861(95)95919-R",has Mw data in paper,vinyl_stereo,,,,,,,49.6,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",20
C=C(C)C(=O)OC(C)C,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.17,vinyl_stereo,,,,,,,138.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC(C)C',)",21
C=C(C)C(=O)OC(C)C,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.18,vinyl_stereo,,,,,,,53.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC(C)C',)",22
C=C(C)C(=O)OC(C)C,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.19,vinyl_stereo,,,,,,,26.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC(C)C',)",23
C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.27,[],"Wang, X., & Hong, M. (2020). Precise Control of Molecular Weight and Stereospecificity in Lewis Pair Polymerization of Semifluorinated Methacrylates: Mechanistic Studies and Stereocomplex Formation. Macromolecules, 53(12), 4659‚Äì4669. https://doi.org/10.1021/acs.macromol.0c00553",Figure 4e,vinyl_stereo,377000,,410930,1.09,,,17.7,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F',)",24
C=C(C)C(=O)OC.C=Cc1ccccc1,0,"[0.5, 0.5]","Suzuki, H., Nishio, Y., Kimura, N., Mathot, V. B. F., Pijpers, M. F. J., & Murakami, Y. (1994). Effects of sequence length distribution on heat capacity and glass transition temperature of styrene-methyl methacrylate copolymers. Polymer, 35(17), 3698‚Äì3702. https://doi.org/10.1016/0032-3861(94)90548-8",Table 1 SM3-8,vinyl_stereo,276000,,447000,1.62,,,111.35,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC', 'C=Cc1ccccc1')",25
C=C(C)C(=O)OC.C=Cc1ccccc1,0,"[0.5, 0.5]","Suzuki, H., Nishio, Y., Kimura, N., Mathot, V. B. F., Pijpers, M. F. J., & Murakami, Y. (1994). Effects of sequence length distribution on heat capacity and glass transition temperature of styrene-methyl methacrylate copolymers. Polymer, 35(17), 3698‚Äì3702. https://doi.org/10.1016/0032-3861(94)90548-8",Table 1 SM5-11,vinyl_stereo,96000,,137000,1.42708333,,,102.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC', 'C=Cc1ccccc1')",26
C=C(C)C(=O)OC.C=Cc1ccccc1,0,"[0.5, 0.5]","Suzuki, H., Nishio, Y., Kimura, N., Mathot, V. B. F., Pijpers, M. F. J., & Murakami, Y. (1994). Effects of sequence length distribution on heat capacity and glass transition temperature of styrene-methyl methacrylate copolymers. Polymer, 35(17), 3698‚Äì3702. https://doi.org/10.1016/0032-3861(94)90548-8",Table 1 SM7-8,vinyl_stereo,210000,,270000,1.28571429,,,100.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC', 'C=Cc1ccccc1')",27
C=C(C)C(=O)OC1CCCCC1,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.6,vinyl_stereo,,,,,,,162.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC1CCCCC1',)",28
C=C(C)C(=O)OC1CCCCC1,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.7,vinyl_stereo,,,,,,,103.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC1CCCCC1',)",29
C=C(C)C(=O)OC1CCCCC1,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.8,vinyl_stereo,,,,,,,50.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC1CCCCC1',)",30
C=C(C)C(=O)OC1c2ccccc2-c2ccccc21,0,[],"Ishizawa, H., Nakano, T., Yade, T., Tsuji, M., Nakagawa, O., & Yamaguchi, T. (2004). Stereospecific polymerization of 9-fluorenyl methacrylate: Tacticity effects on the thermal and photophysical properties of the polymers. Journal of Polymer Science, Part A: Polymer Chemistry, 42(18), 4656‚Äì4665. https://doi.org/10.1002/pola.20361",Text,vinyl_stereo,,,,,,,139,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC1c2ccccc2-c2ccccc21',)",31
C=C(C)C(=O)OC1c2ccccc2-c2ccccc21,1,[],"Ishizawa, H., Nakano, T., Yade, T., Tsuji, M., Nakagawa, O., & Yamaguchi, T. (2004). Stereospecific polymerization of 9-fluorenyl methacrylate: Tacticity effects on the thermal and photophysical properties of the polymers. Journal of Polymer Science, Part A: Polymer Chemistry, 42(18), 4656‚Äì4665. https://doi.org/10.1002/pola.20360",Text,vinyl_stereo,,,,,,,149,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC1c2ccccc2-c2ccccc21',)",32
C=C(C)C(=O)OCC,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.34,vinyl_stereo,,,,,,,119.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC',)",33
C=C(C)C(=O)OCC,0,[],"Wessl√©n, B., Lenz, R. W., Macknight, W. J., & Karasz, F. E. (1971). Glass Transition Temperatures of Poly (ethyl Œ±-chloroacrylates). Macromolecules, 4(1), 24‚Äì26. https://doi.org/10.1021/ma60019a005",Table 2.1syn,vinyl_stereo,,,,,,,120,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC',)",34
C=C(C)C(=O)OCC,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.35,vinyl_stereo,,,,,,,50.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC',)",35
C=C(C)C(=O)OCC,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.36,vinyl_stereo,,,,,,,7.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC',)",36
C=C(C)C(=O)OCC,1,[],"Wessl√©n, B., Lenz, R. W., Macknight, W. J., & Karasz, F. E. (1971). Glass Transition Temperatures of Poly (ethyl Œ±-chloroacrylates). Macromolecules, 4(1), 24‚Äì26. https://doi.org/10.1021/ma60019a006",Table 2.1iso,vinyl_stereo,,,,,,,8,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC',)",37
C=C(C)C(=O)OCC(C)C,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.14,vinyl_stereo,,,,,,,119.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(C)C',)",38
C=C(C)C(=O)OCC(C)C,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.15,vinyl_stereo,,,,,,,47.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(C)C',)",39
C=C(C)C(=O)OCC(C)C,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.16,vinyl_stereo,,,,,,,7.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(C)C',)",40
C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,0.26,[],"Wang, X., & Hong, M. (2020). Precise Control of Molecular Weight and Stereospecificity in Lewis Pair Polymerization of Semifluorinated Methacrylates: Mechanistic Studies and Stereocomplex Formation. Macromolecules, 53(12), 4659‚Äì4669. https://doi.org/10.1021/acs.macromol.0c00553",Figure 4c,vinyl_stereo,1300000,,1339000,1.03,,,57.8,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F',)",41
C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F,0.26,[],"Wang, X., & Hong, M. (2020). Precise Control of Molecular Weight and Stereospecificity in Lewis Pair Polymerization of Semifluorinated Methacrylates: Mechanistic Studies and Stereocomplex Formation. Macromolecules, 53(12), 4659‚Äì4669. https://doi.org/10.1021/acs.macromol.0c00553",Figure 4d,vinyl_stereo,266000,,292000,1.1,,,54.3,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(F)(F)C(F)C(F)(F)F',)",42
C=C(C)C(=O)OCC(F)(F)F,0.31,[],"Wang, X., & Hong, M. (2020). Precise Control of Molecular Weight and Stereospecificity in Lewis Pair Polymerization of Semifluorinated Methacrylates: Mechanistic Studies and Stereocomplex Formation. Macromolecules, 53(12), 4659‚Äì4669. https://doi.org/10.1021/acs.macromol.0c00553",Figure 4a,vinyl_stereo,919000,,965000,1.05,,,82.3,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(F)(F)F',)",43
C=C(C)C(=O)OCC(F)(F)F,0.31,[],"Wang, X., & Hong, M. (2020). Precise Control of Molecular Weight and Stereospecificity in Lewis Pair Polymerization of Semifluorinated Methacrylates: Mechanistic Studies and Stereocomplex Formation. Macromolecules, 53(12), 4659‚Äì4669. https://doi.org/10.1021/acs.macromol.0c00553",Figure 4b,vinyl_stereo,232200,,239166,1.03,,,82.1,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCC(F)(F)F',)",44
C=C(C)C(=O)OCCCC,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.31,vinyl_stereo,,,,,,,87.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCCC',)",45
C=C(C)C(=O)OCCCC,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.32,vinyl_stereo,,,,,,,19.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCCC',)",46
C=C(C)C(=O)OCCCC,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.33,vinyl_stereo,,,,,,,-24.15,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCCC',)",47
C=C(C)C(=O)OCCO,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.9,vinyl_stereo,,,,,,,103.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",48
C=C(C)C(=O)OCCO,0,[],"Russell, G. A., Hiltner, P. A., Gregonis, D. E., de Visser, A. C., & Andrade, J. D. (1980). Thermal and Dynamic Mechanical Relaxation Behavior of Stereoregular Poly(2-Hydroxyethyl Methacrylate). Journal of Polymer Science. Part A-2, Polymer Physics, 18(6), 1271‚Äì1283. https://doi.org/10.1002/pol.1980.180180609",Table 2.A,vinyl_stereo,,,,,,,103.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",49
C=C(C)C(=O)OCCO,0.5,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.10,vinyl_stereo,,,,,,,85.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",50
C=C(C)C(=O)OCCO,0.8,[],"Russell, G. A., Hiltner, P. A., Gregonis, D. E., de Visser, A. C., & Andrade, J. D. (1980). Thermal and Dynamic Mechanical Relaxation Behavior of Stereoregular Poly(2-Hydroxyethyl Methacrylate). Journal of Polymer Science. Part A-2, Polymer Physics, 18(6), 1271‚Äì1283. https://doi.org/10.1002/pol.1980.180180609",Table 2.B,vinyl_stereo,,,,,,,34.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",51
C=C(C)C(=O)OCCO,1,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.11,vinyl_stereo,,,,,,,34.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",52
C=C(C)C(=O)OCCO,1,[],"Russell, G. A., Hiltner, P. A., Gregonis, D. E., de Visser, A. C., & Andrade, J. D. (1980). Thermal and Dynamic Mechanical Relaxation Behavior of Stereoregular Poly(2-Hydroxyethyl Methacrylate). Journal of Polymer Science. Part A-2, Polymer Physics, 18(6), 1271‚Äì1283. https://doi.org/10.1002/pol.1980.180180609",Table 2.C,vinyl_stereo,,,,,,,99.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCO',)",53
C=C(C)C(=O)OCCOC,0,[],"Russell, G. A., Hiltner, P. A., Gregonis, D. E., de Visser, A. C., & Andrade, J. D. (1980). Thermal and Dynamic Mechanical Relaxation Behavior of Stereoregular Poly(2-Hydroxyethyl Methacrylate). Journal of Polymer Science. Part A-2, Polymer Physics, 18(6), 1271‚Äì1283. https://doi.org/10.1002/pol.1980.180180609",Table 2.D,vinyl_stereo,,,,,,,15.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCOC',)",54
C=C(C)C(=O)OCCOC,0,[],"Russell, G. A., Hiltner, P. A., Gregonis, D. E., de Visser, A. C., & Andrade, J. D. (1980). Thermal and Dynamic Mechanical Relaxation Behavior of Stereoregular Poly(2-Hydroxyethyl Methacrylate). Journal of Polymer Science. Part A-2, Polymer Physics, 18(6), 1271‚Äì1283. https://doi.org/10.1002/pol.1980.180180609",Table 2.E,vinyl_stereo,,,,,,,28.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OCCOC',)",55
C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC,0.19,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PVM-53,vinyl_stereo,39000,,53000,1.36,,,131,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC',)",56
C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC,0.21,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PVM-35,vinyl_stereo,24000,,35000,1.47,,,126,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC',)",57
C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC,0.24,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PVM-32,vinyl_stereo,24000,,32000,1.33,,,126,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(=O)O)cc1OC',)",58
C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC,0.2,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PCM-34,vinyl_stereo,29000,,34000,1.18,,,116,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC',)",59
C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC,0.22,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PCM-40,vinyl_stereo,33000,,40000,1.23,,,126,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC',)",60
C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC,0.23,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PCM-48,vinyl_stereo,38000,,48000,1.26,,,127,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC',)",61
C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC,0.24,[],"Holmberg, A. L., Nguyen, N. A., Karavolias, M. G., Reno, K. H., Wool, R. P., & Epps, T. H. (2016). Softwood Lignin-Based Methacrylate Polymers with Tunable Thermal and Viscoelastic Properties. Macromolecules, 49(4), 1286‚Äì1295. https://doi.org/10.1021/acs.macromol.5b02316",Table S1.PCM-19,vinyl_stereo,15000,,19000,1.26,,,124,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)Oc1ccc(C(C)C)cc1OC',)",62
